,year,quarter,count,company_code,pub_code
0,1995,1,0,scotec,sfusat
1,1995,2,0,scotec,sfusat
2,1995,3,0,scotec,sfusat
3,1995,4,0,scotec,sfusat
4,1996,1,0,scotec,sfusat
5,1996,2,0,scotec,sfusat
6,1996,3,0,scotec,sfusat
7,1996,4,0,scotec,sfusat
8,1997,1,0,scotec,sfusat
9,1997,2,0,scotec,sfusat
10,1997,3,0,scotec,sfusat
11,1997,4,0,scotec,sfusat
12,1998,1,0,scotec,sfusat
13,1998,2,0,scotec,sfusat
14,1998,3,0,scotec,sfusat
15,1998,4,0,scotec,sfusat
16,1999,1,0,scotec,sfusat
17,1999,2,0,scotec,sfusat
18,1999,3,0,scotec,sfusat
19,1999,4,0,scotec,sfusat
20,2000,1,0,scotec,sfusat
21,2000,2,0,scotec,sfusat
22,2000,3,0,scotec,sfusat
23,2000,4,0,scotec,sfusat
24,2001,1,0,scotec,sfusat
25,2001,2,0,scotec,sfusat
26,2001,3,0,scotec,sfusat
27,2001,4,0,scotec,sfusat
28,2002,1,0,scotec,sfusat
29,2002,2,0,scotec,sfusat
30,2002,3,0,scotec,sfusat
31,2002,4,0,scotec,sfusat
32,2003,1,0,scotec,sfusat
33,2003,2,0,scotec,sfusat
34,2003,3,0,scotec,sfusat
35,2003,4,0,scotec,sfusat
36,2004,1,0,scotec,sfusat
37,2004,2,0,scotec,sfusat
38,2004,3,0,scotec,sfusat
39,2004,4,0,scotec,sfusat
40,2005,1,0,scotec,sfusat
41,2005,2,0,scotec,sfusat
42,2005,3,0,scotec,sfusat
43,2005,4,0,scotec,sfusat
44,2006,1,0,scotec,sfusat
45,2006,2,0,scotec,sfusat
46,2006,3,0,scotec,sfusat
47,2006,4,0,scotec,sfusat
48,2007,1,0,scotec,sfusat
49,2007,2,0,scotec,sfusat
50,2007,3,0,scotec,sfusat
51,2007,4,0,scotec,sfusat
52,2008,1,0,scotec,sfusat
53,2008,2,0,scotec,sfusat
54,2008,3,0,scotec,sfusat
55,2008,4,0,scotec,sfusat
56,2009,1,0,scotec,sfusat
57,2009,2,0,scotec,sfusat
58,2009,3,0,scotec,sfusat
59,2009,4,0,scotec,sfusat
60,2010,1,0,scotec,sfusat
61,2010,2,0,scotec,sfusat
62,2010,3,0,scotec,sfusat
63,2010,4,0,scotec,sfusat
64,2011,1,0,scotec,sfusat
65,2011,2,0,scotec,sfusat
66,2011,3,0,scotec,sfusat
67,2011,4,0,scotec,sfusat
68,2012,1,0,scotec,sfusat
69,2012,2,0,scotec,sfusat
70,2012,3,0,scotec,sfusat
71,2012,4,0,scotec,sfusat
72,2013,1,0,scotec,sfusat
73,2013,2,0,scotec,sfusat
74,2013,3,0,scotec,sfusat
75,2013,4,0,scotec,sfusat
76,2014,1,0,scotec,sfusat
77,2014,2,0,scotec,sfusat
78,2014,3,0,scotec,sfusat
79,2014,4,0,scotec,sfusat
80,2015,1,0,scotec,sfusat
81,2015,2,0,scotec,sfusat
82,2015,3,0,scotec,sfusat
83,2015,4,0,scotec,sfusat
84,2016,1,0,scotec,sfusat
85,2016,2,0,scotec,sfusat
86,2016,3,0,scotec,sfusat
87,2016,4,0,scotec,sfusat
88,2017,1,0,scotec,sfusat
89,2017,2,0,scotec,sfusat
90,2017,3,0,scotec,sfusat
91,2017,4,0,scotec,sfusat
92,2018,1,0,scotec,sfusat
93,2018,2,0,scotec,sfusat
94,2018,3,0,scotec,sfusat
95,2018,4,0,scotec,sfusat
96,2019,1,0,scotec,sfusat
97,2019,2,0,scotec,sfusat
98,2019,3,0,scotec,sfusat
99,2019,4,0,scotec,sfusat
100,2020,1,0,scotec,sfusat
101,2020,2,0,scotec,sfusat
0,1995,1,0,scotec,sfwsj
1,1995,2,0,scotec,sfwsj
2,1995,3,0,scotec,sfwsj
3,1995,4,0,scotec,sfwsj
0,1996,1,0,scotec,sfwsj
1,1996,2,0,scotec,sfwsj
2,1996,3,0,scotec,sfwsj
3,1996,4,0,scotec,sfwsj
0,1997,1,0,scotec,sfwsj
1,1997,2,0,scotec,sfwsj
2,1997,3,0,scotec,sfwsj
3,1997,4,0,scotec,sfwsj
0,1998,1,1,scotec,sfwsj
1,1998,2,0,scotec,sfwsj
2,1998,3,0,scotec,sfwsj
3,1998,4,0,scotec,sfwsj
0,1999,1,0,scotec,sfwsj
1,1999,2,0,scotec,sfwsj
2,1999,3,0,scotec,sfwsj
3,1999,4,0,scotec,sfwsj
0,2000,1,0,scotec,sfwsj
1,2000,2,0,scotec,sfwsj
2,2000,3,0,scotec,sfwsj
3,2000,4,0,scotec,sfwsj
0,2001,1,0,scotec,sfwsj
1,2001,2,0,scotec,sfwsj
2,2001,3,0,scotec,sfwsj
3,2001,4,0,scotec,sfwsj
0,2002,1,0,scotec,sfwsj
1,2002,2,0,scotec,sfwsj
2,2002,3,0,scotec,sfwsj
3,2002,4,0,scotec,sfwsj
0,2003,1,0,scotec,sfwsj
1,2003,2,0,scotec,sfwsj
2,2003,3,0,scotec,sfwsj
3,2003,4,0,scotec,sfwsj
0,2004,1,0,scotec,sfwsj
1,2004,2,0,scotec,sfwsj
2,2004,3,0,scotec,sfwsj
3,2004,4,0,scotec,sfwsj
0,2005,1,0,scotec,sfwsj
1,2005,2,0,scotec,sfwsj
2,2005,3,0,scotec,sfwsj
3,2005,4,0,scotec,sfwsj
0,2006,1,0,scotec,sfwsj
1,2006,2,0,scotec,sfwsj
2,2006,3,0,scotec,sfwsj
3,2006,4,0,scotec,sfwsj
0,2007,1,0,scotec,sfwsj
1,2007,2,0,scotec,sfwsj
2,2007,3,0,scotec,sfwsj
3,2007,4,0,scotec,sfwsj
0,2008,1,0,scotec,sfwsj
1,2008,2,0,scotec,sfwsj
2,2008,3,0,scotec,sfwsj
3,2008,4,0,scotec,sfwsj
0,2009,1,0,scotec,sfwsj
1,2009,2,0,scotec,sfwsj
2,2009,3,0,scotec,sfwsj
3,2009,4,0,scotec,sfwsj
0,2010,1,0,scotec,sfwsj
1,2010,2,0,scotec,sfwsj
2,2010,3,0,scotec,sfwsj
3,2010,4,0,scotec,sfwsj
0,2011,1,0,scotec,sfwsj
